Nome,Latitude,Longitude
EXECUTIVE LOUNGE,9.18636732815,45.4834909617
FINGER'S GARDEN,9.19866503892,45.4927766175
JUST CAVALLI,9.1732119,45.4729362
ROCKING HORSE,9.18807102201,45.4821308371
SIO CAFE',9.209364,45.511814
DUDE CLUB,9.23040578592,45.4384971787
AGHARTI PUB,9.17576822169,45.4526995995
MONO,9.2040578913,45.4765407148
THE LOFT,9.1638561156771,45.5132978744325
PALO ALTO,9.19707540813,45.4548085509,
RISTORANTE 1958,9.14796407342,45.5207339018
EDA,9.22110512432,45.4799443577
CAFFE' SFORZESCO,9.18474664084,45.4660081351
SOUND OF 70’S,9.17585761778,45.5019105484
BYBLOS,9.17374757007,45.4858868336
GREEN FIZZ,9.17622774275,45.4575607478
ZOOM BAR,9.20302766916,45.4766416508
RISTORANTE GIANNINO,9.1998755509,45.4809893968
DOM STATION,9.1702055006,45.4523415341
AMARANTA CLUB,9.17504264955,45.4192143276
SERENDEPICO,9.18102035069,45.4685610728
EFF,9.2225894363,45.4481602623
ARMANI PRIVE',9.19314671697,45.4708059245
EL TOMBON DE SAN MARC,9.18860283628,45.4754701899
LA CASA DELLA MUSICA,9.17594950035,45.4418479036
BAR VERGA,9.15967516497,45.4622429913
BABYLONE,9.19631639844,45.4903656056
BAIA,9.21757222462,45.4966537696
LA CASA DELLA MUSICA,9.13482535912,45.4419680086
SALSAMENTERIA DI PARMA,9.19536833724,45.4663598468
TEATRO ARSENALE,9.17982611296,45.4595949983
MAGAZZINI GENERALI,9.19623447285,45.4439084596
WILLIAM’S CLUB,9.19418783582,45.4712760796
PEPENERO MILANO CITY,9.12216710046,45.5010450361
MAGA FURLA,9.21181696726,45.509552029
LA SIDRERIA,9.25126927703,45.4711599712
BLUESHOUSE,9.2242121376,45.5209523595
CLUB 747,9.22091045436,45.4752972437
PLASTIC PALACE,9.20603467729,45.4381415945
VIBE ROOM,9.18954667165,45.4808835566
EXOTICA,9.18495519619986,45.4827327971947
BAMBU' CLUB,9.21898524687,45.4879876105
TOCQUEVILLE,9.18632911656,45.4822537727
FABRIQUE,9.25218895578,45.4520289123
MASQUENADA,9.21707143575,45.4634008387
EPOCA,9.14092232392,45.4420893192
MIB,9.18383619687,45.4651432718
ROCKET CLUB,9.16036182642704,45.4489249545815
RISTORANTE 4CENTO,9.19386884293,45.4333247334
CIRCLE,9.15933601889,45.4536354238
BOBINO NAVIGLIO,9.15944837828,45.4487513211
BANA AFRIQUE,9.21274502205,45.4979018789
THE BEACH,9.25505417194,45.4707260428
GOGANGA,9.2215715338,45.4469745844
SPACE 25,9.23362108631,45.4397130918
COST,9.18368882856742,45.4825532574061
PICCOLO CIRCO,9.17197566063,45.4882149963
STUDIO 69,9.20036923213,45.4892492394
SANTERIA SOCIAL CLUB,9.18850400196,45.445742166
BLACKOUT,9.18033431714,45.4578497939
PUPA CLUB,9.20978784014,45.4793766298
TIME CLUB MILANO,9.2160713203,45.444353196
SIXTH SENSE,9.17656566997,45.4489904203
SMERALDO,9.22029098408,45.4887270974
LO STACCO,9.20049231073,45.4306893425
